Activity Period,Operating Airline,Operating Airline IATA Code,Published Airline,Published Airline IATA Code,GEO Summary,GEO Region,Activity Type Code,Cargo Type Code,Cargo Aircraft Type,Cargo Weight LBS,Cargo Metric TONS
200507,ABX Air,GB,ABX Air,GB,Domestic,US,Deplaned,Cargo,Freighter,45423,20.6038728
200507,ABX Air,GB,ABX Air,GB,Domestic,US,Enplaned,Cargo,Freighter,106869,48.4757784
200507,ATA Airlines,TZ,ATA Airlines,TZ,Domestic,US,Deplaned,Cargo,Passenger,55427,25.1416872
200507,ATA Airlines,TZ,ATA Airlines,TZ,Domestic,US,Deplaned,Mail,Passenger,50278,22.8061008
200507,ATA Airlines,TZ,ATA Airlines,TZ,Domestic,US,Enplaned,Cargo,Passenger,74183,33.6494088
200507,ATA Airlines,TZ,ATA Airlines,TZ,Domestic,US,Enplaned,Mail,Passenger,347558,157.6523088
200507,Air Canada ,AC,Air Canada ,AC,International,Canada,Deplaned,Cargo,Passenger,47025,21.33054
200507,Air Canada ,AC,Air Canada ,AC,International,Canada,Deplaned,Express,Passenger,7234,3.2813424
200507,Air Canada ,AC,Air Canada ,AC,International,Canada,Deplaned,Mail,Passenger,29762,13.5000432
200507,Air Canada ,AC,Air Canada ,AC,International,Canada,Enplaned,Cargo,Passenger,37291,16.9151976
200507,Air Canada ,AC,Air Canada ,AC,International,Canada,Enplaned,Express,Passenger,6707,3.0422952
200507,Air Canada ,AC,Air Canada ,AC,International,Canada,Enplaned,Mail,Passenger,67831,30.7681416
200507,Air China,CA,Air China,CA,International,Asia,Deplaned,Cargo,Passenger,1127590,511.474824
200507,Air China,CA,Air China,CA,International,Asia,Enplaned,Cargo,Passenger,353098,160.1652528
200507,Air France,AF,Air France,AF,International,Europe,Deplaned,Cargo,Passenger,464002,210.4713072
200507,Air France,AF,Air France,AF,International,Europe,Deplaned,Mail,Passenger,38810,17.604216
200507,Air France,AF,Air France,AF,International,Europe,Enplaned,Cargo,Passenger,423069,191.9040984
200507,Air France,AF,Air France,AF,International,Europe,Enplaned,Mail,Passenger,100001,45.3604536
200507,Air New Zealand,NZ,Air New Zealand,NZ,International,Australia / Oceania,Deplaned,Cargo,Passenger,317156,143.8619616
200507,Air New Zealand,NZ,Air New Zealand,NZ,International,Australia / Oceania,Deplaned,Mail,Passenger,11548,5.2381728
200507,Air New Zealand,NZ,Air New Zealand,NZ,International,Australia / Oceania,Enplaned,Cargo,Passenger,221652,100.5413472
200507,Alaska Airlines,AS,Alaska Airlines,AS,Domestic,US,Deplaned,Cargo,Passenger,153748,69.7400928
200507,Alaska Airlines,AS,Alaska Airlines,AS,Domestic,US,Deplaned,Express,Passenger,3713,1.6842168
200507,Alaska Airlines,AS,Alaska Airlines,AS,Domestic,US,Enplaned,Cargo,Passenger,295930,134.233848
200507,Alaska Airlines,AS,Alaska Airlines,AS,Domestic,US,Enplaned,Express,Passenger,3367,1.5272712
200507,Alaska Airlines,AS,Alaska Airlines,AS,Domestic,US,Enplaned,Mail,Passenger,28705,13.020588
200507,Alaska Airlines,AS,Alaska Airlines,AS,International,Canada,Deplaned,Cargo,Passenger,34206,15.5158416
200507,Alaska Airlines,AS,Alaska Airlines,AS,International,Canada,Enplaned,Cargo,Passenger,21031,9.5396616
200507,Alaska Airlines,AS,Alaska Airlines,AS,International,Canada,Enplaned,Mail,Passenger,48979,22.2168744
200507,Alaska Airlines,AS,Alaska Airlines,AS,International,Mexico,Deplaned,Cargo,Passenger,99222,45.0070992
200507,Alaska Airlines,AS,Alaska Airlines,AS,International,Mexico,Deplaned,Express,Passenger,140,0.063504
200507,Alaska Airlines,AS,Alaska Airlines,AS,International,Mexico,Enplaned,Cargo,Passenger,16838,7.6377168
200507,All Nippon Airways,NH,All Nippon Airways,NH,International,Asia,Deplaned,Cargo,Passenger,820116,372.0046176
200507,All Nippon Airways,NH,All Nippon Airways,NH,International,Asia,Deplaned,Mail,Passenger,95590,43.359624
200507,All Nippon Airways,NH,All Nippon Airways,NH,International,Asia,Enplaned,Cargo,Passenger,347156,157.4699616
200507,All Nippon Airways,NH,All Nippon Airways,NH,International,Asia,Enplaned,Mail,Passenger,190201,86.2751736
200507,American Airlines,AA,American Airlines,AA,Domestic,US,Deplaned,Cargo,Passenger,1745713,791.8554168
200507,American Airlines,AA,American Airlines,AA,Domestic,US,Deplaned,Mail,Passenger,394829,179.0944344
200507,American Airlines,AA,American Airlines,AA,Domestic,US,Enplaned,Cargo,Passenger,2610403,1184.078801
200507,American Airlines,AA,American Airlines,AA,Domestic,US,Enplaned,Mail,Passenger,867692,393.5850912
200507,Ameriflight,A8,Ameriflight,A8,Domestic,US,Deplaned,Cargo,Freighter,46448,21.0688128
200507,Ameriflight,A8,Ameriflight,A8,Domestic,US,Enplaned,Cargo,Freighter,13271,6.0197256
200507,Asiana Airlines,OZ,Asiana Airlines,OZ,International,Asia,Deplaned,Cargo,Freighter,377597,171.2779992
200507,Asiana Airlines,OZ,Asiana Airlines,OZ,International,Asia,Deplaned,Cargo,Passenger,646310,293.166216
200507,Asiana Airlines,OZ,Asiana Airlines,OZ,International,Asia,Enplaned,Cargo,Freighter,392733,178.1436888
200507,Asiana Airlines,OZ,Asiana Airlines,OZ,International,Asia,Enplaned,Cargo,Passenger,672216,304.9171776
200507,Astar Air Cargo,ER,Astar Air Cargo,ER,Domestic,US,Deplaned,Cargo,Freighter,1159652,526.0181472
200507,Astar Air Cargo,ER,Astar Air Cargo,ER,Domestic,US,Enplaned,Cargo,Freighter,1535268,696.3975648
200507,Atlantic Southeast Airlines,EV,Delta Air Lines,DL,Domestic,US,Deplaned,Mail,Passenger,11,0.0049896
200507,British Airways,BA,British Airways,BA,International,Europe,Deplaned,Cargo,Passenger,1021909,463.5379224
200507,British Airways,BA,British Airways,BA,International,Europe,Deplaned,Mail,Passenger,15096,6.8475456
200507,British Airways,BA,British Airways,BA,International,Europe,Enplaned,Cargo,Passenger,776831,352.3705416
200507,Cargolux Airlines ,CV,Cargolux Airlines ,CV,International,Europe,Deplaned,Cargo,Freighter,1029715,467.078724
200507,Cargolux Airlines ,CV,Cargolux Airlines ,CV,International,Europe,Enplaned,Cargo,Freighter,786402,356.7119472
200507,Cathay Pacific,CX,Cathay Pacific,CX,International,Asia,Deplaned,Cargo,Freighter,920693,417.6263448
200507,Cathay Pacific,CX,Cathay Pacific,CX,International,Asia,Deplaned,Cargo,Passenger,241333,109.4686488
200507,Cathay Pacific,CX,Cathay Pacific,CX,International,Asia,Deplaned,Mail,Passenger,129473,58.7289528
200507,Cathay Pacific,CX,Cathay Pacific,CX,International,Asia,Enplaned,Cargo,Freighter,1110414,503.6837904
200507,Cathay Pacific,CX,Cathay Pacific,CX,International,Asia,Enplaned,Cargo,Passenger,251430,114.048648
200507,Cathay Pacific,CX,Cathay Pacific,CX,International,Asia,Enplaned,Express,Passenger,3,0.0013608
200507,Cathay Pacific,CX,Cathay Pacific,CX,International,Asia,Enplaned,Mail,Passenger,251430,114.048648
200507,China Airlines,CI,China Airlines,CI,International,Asia,Deplaned,Cargo,Freighter,2108144,956.2541184
200507,China Airlines,CI,China Airlines,CI,International,Asia,Deplaned,Mail,Freighter,66167,30.0133512
200507,China Airlines,CI,China Airlines,CI,International,Asia,Enplaned,Cargo,Freighter,2065410,936.869976
200507,China Airlines,CI,China Airlines,CI,International,Asia,Enplaned,Mail,Freighter,47294,21.4525584
200507,China Cargo Airlines,CK,China Cargo Airlines,CK,International,Asia,Deplaned,Cargo,Freighter,315657,143.1820152
200507,China Cargo Airlines,CK,China Cargo Airlines,CK,International,Asia,Enplaned,Cargo,Freighter,403914,183.2153904
200507,Delta Air Lines,DL,Delta Air Lines,DL,Domestic,US,Deplaned,Cargo,Passenger,722328,327.6479808
200507,Delta Air Lines,DL,Delta Air Lines,DL,Domestic,US,Deplaned,Express,Passenger,531960,241.297056
200507,Delta Air Lines,DL,Delta Air Lines,DL,Domestic,US,Deplaned,Mail,Passenger,160118,72.6295248
200507,Delta Air Lines,DL,Delta Air Lines,DL,Domestic,US,Enplaned,Cargo,Passenger,64769,29.3792184
200507,Delta Air Lines,DL,Delta Air Lines,DL,Domestic,US,Enplaned,Express,Passenger,1481410,671.967576
200507,Delta Air Lines,DL,Delta Air Lines,DL,Domestic,US,Enplaned,Mail,Passenger,213104,96.6639744
200507,EVA Airways,BR,EVA Airways,BR,International,Asia,Deplaned,Cargo,Combi,3343546,1516.632466
200507,EVA Airways,BR,EVA Airways,BR,International,Asia,Deplaned,Cargo,Passenger,97764,44.3457504
200507,EVA Airways,BR,EVA Airways,BR,International,Asia,Enplaned,Cargo,Combi,2123959,963.4278024
200507,EVA Airways,BR,EVA Airways,BR,International,Asia,Enplaned,Cargo,Passenger,62104,28.1703744
200507,Evergreen International Airlines,EZ,Evergreen International Airlines,EZ,Domestic,US,Deplaned,Cargo,Freighter,215807,97.8900552
200507,Federal Express,FX,Federal Express,FX,Domestic,US,Deplaned,Cargo,Freighter,8985408,4075.781069
200507,Federal Express,FX,Federal Express,FX,Domestic,US,Enplaned,Cargo,Freighter,7879802,3574.278187
200507,Frontier Airlines,F9,Frontier Airlines,F9,Domestic,US,Deplaned,Cargo,Passenger,37720,17.109792
200507,Frontier Airlines,F9,Frontier Airlines,F9,Domestic,US,Deplaned,Express,Passenger,11381,5.1624216
200507,Frontier Airlines,F9,Frontier Airlines,F9,Domestic,US,Enplaned,Cargo,Passenger,79810,36.201816
200507,Frontier Airlines,F9,Frontier Airlines,F9,Domestic,US,Enplaned,Express,Passenger,1664,0.7547904
200507,Hawaiian Airlines,HA,Hawaiian Airlines,HA,Domestic,US,Deplaned,Cargo,Passenger,147814,67.0484304
200507,Hawaiian Airlines,HA,Hawaiian Airlines,HA,Domestic,US,Enplaned,Cargo,Passenger,420021,190.5215256
200507,Horizon Air ,QX,Alaska Airlines,AS,Domestic,US,Deplaned,Cargo,Passenger,26270,11.916072
200507,Horizon Air ,QX,Alaska Airlines,AS,Domestic,US,Enplaned,Cargo,Passenger,5330,2.417688
200507,Icelandair,FI,Icelandair,FI,International,Europe,Deplaned,Cargo,Passenger,11856,5.3778816
200507,Icelandair,FI,Icelandair,FI,International,Europe,Enplaned,Cargo,Passenger,82208,37.2895488
200507,Japan Airlines,JL,Japan Airlines,JL,International,Asia,Deplaned,Cargo,Freighter,1464911,664.4836296
200507,Japan Airlines,JL,Japan Airlines,JL,International,Asia,Deplaned,Cargo,Passenger,490152,222.3329472
200507,Japan Airlines,JL,Japan Airlines,JL,International,Asia,Deplaned,Mail,Freighter,168662,76.5050832
200507,Japan Airlines,JL,Japan Airlines,JL,International,Asia,Deplaned,Mail,Passenger,56433,25.5980088
200507,Japan Airlines,JL,Japan Airlines,JL,International,Asia,Enplaned,Cargo,Freighter,1554286,705.0241296
200507,Japan Airlines,JL,Japan Airlines,JL,International,Asia,Enplaned,Cargo,Passenger,520057,235.8978552
200507,Japan Airlines,JL,Japan Airlines,JL,International,Asia,Enplaned,Mail,Freighter,186902,84.7787472
200507,Japan Airlines,JL,Japan Airlines,JL,International,Asia,Enplaned,Mail,Passenger,62537,28.3667832
200507,KLM Royal Dutch Airlines,KL,KLM Royal Dutch Airlines,KL,International,Europe,Deplaned,Cargo,Passenger,702079,318.4630344
200507,KLM Royal Dutch Airlines,KL,KLM Royal Dutch Airlines,KL,International,Europe,Deplaned,Mail,Passenger,141422,64.1490192
200507,KLM Royal Dutch Airlines,KL,KLM Royal Dutch Airlines,KL,International,Europe,Enplaned,Cargo,Passenger,611446,277.3519056
200507,KLM Royal Dutch Airlines,KL,KLM Royal Dutch Airlines,KL,International,Europe,Enplaned,Mail,Passenger,138573,62.8567128
200507,Kalitta Air,K4,Kalitta Air,K4,Domestic,US,Deplaned,Cargo,Freighter,922919,418.6360584
200507,Kalitta Air,K4,Kalitta Air,K4,Domestic,US,Enplaned,Cargo,Freighter,773224,350.7344064
200507,Kitty Hawk Air Cargo,KR,Kitty Hawk Air Cargo,KR,Domestic,US,Deplaned,Cargo,Freighter,551563,250.1889768
200507,Kitty Hawk Air Cargo,KR,Kitty Hawk Air Cargo,KR,Domestic,US,Enplaned,Cargo,Freighter,580231,263.1927816
200507,Korean Air Lines,KE,Korean Air Lines,KE,International,Asia,Deplaned,Cargo,Freighter,1718657,779.5828152
200507,Korean Air Lines,KE,Korean Air Lines,KE,International,Asia,Deplaned,Cargo,Passenger,563990,255.825864
200507,Korean Air Lines,KE,Korean Air Lines,KE,International,Asia,Deplaned,Express,Freighter,48128,21.8308608
200507,Korean Air Lines,KE,Korean Air Lines,KE,International,Asia,Deplaned,Express,Passenger,15794,7.1641584
200507,Korean Air Lines,KE,Korean Air Lines,KE,International,Asia,Deplaned,Mail,Freighter,15433,7.0004088
200507,Korean Air Lines,KE,Korean Air Lines,KE,International,Asia,Deplaned,Mail,Passenger,5065,2.297484
200507,Korean Air Lines,KE,Korean Air Lines,KE,International,Asia,Enplaned,Cargo,Freighter,1356880,615.480768
200507,Korean Air Lines,KE,Korean Air Lines,KE,International,Asia,Enplaned,Cargo,Passenger,445270,201.974472
200507,Korean Air Lines,KE,Korean Air Lines,KE,International,Asia,Enplaned,Mail,Freighter,7570,3.433752
200507,Korean Air Lines,KE,Korean Air Lines,KE,International,Asia,Enplaned,Mail,Passenger,2484,1.1267424
200507,Lufthansa German Airlines,LH,Lufthansa German Airlines,LH,International,Europe,Deplaned,Cargo,Passenger,910330,412.925688
200507,Lufthansa German Airlines,LH,Lufthansa German Airlines,LH,International,Europe,Deplaned,Mail,Passenger,21290,9.657144
200507,Lufthansa German Airlines,LH,Lufthansa German Airlines,LH,International,Europe,Enplaned,Cargo,Passenger,910003,412.7773608
200507,Midwest Airlines,YX,Midwest Airlines,YX,Domestic,US,Deplaned,Cargo,Passenger,2504,1.1358144
200507,Midwest Airlines,YX,Midwest Airlines,YX,Domestic,US,Deplaned,Mail,Passenger,24380,11.058768
200507,Midwest Airlines,YX,Midwest Airlines,YX,Domestic,US,Enplaned,Cargo,Passenger,3448,1.5640128
200507,Midwest Airlines,YX,Midwest Airlines,YX,Domestic,US,Enplaned,Mail,Passenger,25840,11.721024
200507,Nippon Cargo Airlines,KZ,Nippon Cargo Airlines,KZ,International,Asia,Deplaned,Cargo,Freighter,2276370,1032.561432
200507,Nippon Cargo Airlines,KZ,Nippon Cargo Airlines,KZ,International,Asia,Deplaned,Mail,Freighter,63461,28.7859096
200507,Nippon Cargo Airlines,KZ,Nippon Cargo Airlines,KZ,International,Asia,Enplaned,Cargo,Freighter,2152702,976.4656272
200507,Nippon Cargo Airlines,KZ,Nippon Cargo Airlines,KZ,International,Asia,Enplaned,Mail,Freighter,281619,127.7423784
200507,Northwest Airlines,NW,Northwest Airlines,NW,Domestic,US,Deplaned,Cargo,Freighter,54209,24.5892024
