Activity Period,Operating Airline,Operating Airline IATA Code,Published Airline,Published Airline IATA Code,GEO Summary,GEO Region,Activity Type Code,Cargo Type Code,Cargo Aircraft Type,Cargo Weight LBS,Cargo Metric TONS
201208,Delta Air Lines,DL,Delta Air Lines,DL,International,Asia,Deplaned,Mail,Passenger,24175,10.96578
201208,Delta Air Lines,DL,Delta Air Lines,DL,International,Asia,Enplaned,Cargo,Passenger,192501,87.3184536
201208,Delta Air Lines,DL,Delta Air Lines,DL,International,Asia,Enplaned,Mail,Passenger,26283,11.9219688
201208,EVA Airways,BR,EVA Airways,BR,International,Asia,Deplaned,Cargo,Freighter,81383,36.9153288
201208,EVA Airways,BR,EVA Airways,BR,International,Asia,Deplaned,Cargo,Passenger,1473526,668.3913936
201208,EVA Airways,BR,EVA Airways,BR,International,Asia,Deplaned,Express,Passenger,181,0.0821016
201208,EVA Airways,BR,EVA Airways,BR,International,Asia,Deplaned,Mail,Passenger,35812,16.2443232
201208,EVA Airways,BR,EVA Airways,BR,International,Asia,Enplaned,Cargo,Freighter,396607,179.9009352
201208,EVA Airways,BR,EVA Airways,BR,International,Asia,Enplaned,Cargo,Passenger,1102962,500.3035632
201208,EVA Airways,BR,EVA Airways,BR,International,Asia,Enplaned,Express,Passenger,3146,1.4270256
201208,Emirates ,EK,Emirates ,EK,International,Middle East,Deplaned,Cargo,Passenger,23719,10.7589384
201208,Emirates ,EK,Emirates ,EK,International,Middle East,Enplaned,Cargo,Passenger,221869,100.6397784
201208,Federal Express,FX,Federal Express,FX,Domestic,US,Deplaned,Cargo,Freighter,3643147,1652.531479
201208,Federal Express,FX,Federal Express,FX,Domestic,US,Enplaned,Cargo,Freighter,922281,418.3466616
201208,Frontier Airlines,F9,Frontier Airlines,F9,Domestic,US,Deplaned,Cargo,Passenger,97148,44.0663328
201208,Frontier Airlines,F9,Frontier Airlines,F9,Domestic,US,Deplaned,Express,Passenger,437,0.1982232
201208,Frontier Airlines,F9,Frontier Airlines,F9,Domestic,US,Enplaned,Cargo,Passenger,65441,29.6840376
201208,Frontier Airlines,F9,Frontier Airlines,F9,Domestic,US,Enplaned,Express,Passenger,1065,0.483084
201208,Hawaiian Airlines,HA,Hawaiian Airlines,HA,Domestic,US,Deplaned,Cargo,Passenger,222719,101.0253384
201208,Hawaiian Airlines,HA,Hawaiian Airlines,HA,Domestic,US,Enplaned,Cargo,Passenger,809115,367.014564
201208,Horizon Air ,QX,Alaska Airlines,AS,Domestic,US,Deplaned,Cargo,Passenger,10919,4.9528584
201208,Horizon Air ,QX,Alaska Airlines,AS,Domestic,US,Enplaned,Cargo,Passenger,2966,1.3453776
201208,Japan Airlines,JL,Japan Airlines,JL,International,Asia,Deplaned,Cargo,Passenger,293142,132.9692112
201208,Japan Airlines,JL,Japan Airlines,JL,International,Asia,Deplaned,Mail,Passenger,104220,47.274192
201208,Japan Airlines,JL,Japan Airlines,JL,International,Asia,Enplaned,Cargo,Passenger,231691,105.0950376
201208,Japan Airlines,JL,Japan Airlines,JL,International,Asia,Enplaned,Mail,Passenger,97317,44.1429912
201208,JetBlue Airways ,B6,JetBlue Airways ,B6,Domestic,US,Deplaned,Cargo,Passenger,16249,7.3705464
201208,JetBlue Airways ,B6,JetBlue Airways ,B6,Domestic,US,Enplaned,Cargo,Passenger,7314,3.3176304
201208,KLM Royal Dutch Airlines,KL,KLM Royal Dutch Airlines,KL,International,Europe,Deplaned,Cargo,Passenger,167479,75.9684744
201208,KLM Royal Dutch Airlines,KL,KLM Royal Dutch Airlines,KL,International,Europe,Enplaned,Cargo,Passenger,126793,57.5133048
201208,KLM Royal Dutch Airlines,KL,KLM Royal Dutch Airlines,KL,International,Europe,Enplaned,Mail,Passenger,15594,7.0734384
201208,Kalitta Air,K4,Kalitta Air,K4,Domestic,US,Enplaned,Cargo,Freighter,23325,10.58022
